ID,Number,IU,Speaker,Gender,Item,Vowel,Duration_IU_s,Syllables_IU,Speech_Rate,Frequency,ACC,BI,Prox,Duration_ms,Annotator_1_Duration,Annotator_2_Duration
201,61,to 'lock the :d\oor#,<1_8_B>,female,lock,LOT,0.85,5,5.91,4.42,SEC,1,2,123.0,125.6,120.3
202,62,you`re ^quite r\/ight about 'that#,<1_8_A>,female,that,CAT,1.19,6,5.05,7.19,SEC,4,0,81.2,97.4,65.0
203,63, is ^{r\eally 'got} !b\ared a 'lot#,<1_7_A>,male,got,LOT,1.31,7,5.34,6.47,SEC,1,3,106.2,103.1,109.3
204,64,"well ^I`ve ""!t\/old a 'lot of 'people#",<1_9_A>,female,lot,LOT,1.46,8,5.47,5.98,SEC,1,3,113.7,113.6,113.9
205,65,^went 'back to sch\ool I re'member#,<1_7_A>,male,back,CAT,1.11,8,7.22,6.25,SEC,1,2,88.2,105.0,71.4
206,66,and a ^coffee and t/ea 'pot#,<1_4_B>,male,pot,LOT,1.22,7,5.72,4.76,SEC,4,0,133.0,131.8,134.1
207,67, . a ^little bit m\ore of a 'shock# ,<2_1_02>,male,shock,LOT,1.02,8,7.84,4.63,SEC,4,0,102.0,98.9,105.1
208,68,they`ve ^got a !very sm\all 'hole in the 'top#,<4_4_D>,male,top,LOT,1.27,10,7.88,5.64,SEC,4,0,92.6,94.6,90.6
209,69,then ^t\urn 'left#,<4_2_a>,male,left,DRESS,0.89,3,3.36,5.66,SEC,4,0,100.2,99.3,101.0
210,70,*I* ^like !!th\/at one 'best#,<1_8_A>,female,best,DRESS,1.20,5,4.18,5.78,SEC,4,0,147.6,142.7,152.5
